LULC,NDWI,NDVI,B1,B2,B3,B4,B5,B6,MNDWI,B7,NDBI,system:index
1,0.2854831592881306,0.7624521072796935,329.0,381.5,294.5,2185.0,1214.5,2894.0,-0.5219298245614035,486.0,-0.2854831592881306,0_0
7,0.8723242317572067,-0.06566016237003276,5877.0,5767.5,5611.5,4920.0,335.5,2524.0,0.890054071767983,311.5,-0.8723242317572067,1_0
4,0.1185167800985684,0.5605762933857237,472.0,628.0,671.0,2383.0,1878.0,2934.0,-0.49880287310454907,1045.0,-0.1185167800985684,2_0
7,0.7892880758210271,-0.3384222536129523,12016.5,12212.0,12317.5,6088.5,717.0,2703.0,0.8890865496171397,577.5,-0.7892880758210271,3_0
1,0.3184014053579271,0.5858425779186477,434.0,496.0,392.0,1501.0,776.0,2902.0,-0.22012578616352202,347.0,-0.3184014053579271,4_0
7,0.8282282282282283,-0.44875045273451647,20000.0,20000.0,20000.0,7610.0,715.0,2645.5,0.9309678976587015,589.5,-0.8282282282282283,5_0
3,0.025438100621820236,0.4942339373970346,540.5,778.5,921.0,2721.0,2586.0,2960.0,-0.5372269282211324,1636.0,-0.025438100621820236,6_0
7,-0.1925507149983372,0.3124324324324324,387.0,471.0,636.0,1214.0,1793.0,2778.0,-0.583922261484099,1146.0,0.1925507149983372,7_0
1,0.41935483870967744,0.6030451332245785,372.0,432.0,365.0,1474.0,603.0,2864.0,-0.16521739130434782,224.0,-0.41935483870967744,8_0
4,-0.021539461919856947,0.5006232859636001,473.0,771.0,1001.5,3009.5,3142.0,2913.0,-0.605928954766164,2015.0,0.021539461919856947,9_0
1,0.28026618889173277,0.7465083798882681,338.0,481.0,363.0,2501.0,1406.0,2875.0,-0.49019607843137253,540.0,-0.28026618889173277,10_0
7,0.871442484579591,-0.07730886197513738,5253.5,5157.5,5048.0,4323.5,297.0,2507.5,0.8910990924924375,270.0,-0.871442484579591,11_0
1,0.060006704659738515,0.517274472168906,189.5,231.5,251.5,790.5,701.0,2759.5,-0.503485254691689,398.0,-0.060006704659738515,12_0
4,-0.07012987012987013,0.30688732051594064,611.0,715.5,712.0,1342.5,1545.0,2939.5,-0.3669542136695421,908.5,0.07012987012987013,13_0
4,0.10353982300884956,0.5471464019851117,515.0,649.0,730.0,2494.0,2026.0,2934.0,-0.5147663551401869,1037.0,-0.10353982300884956,14_0
4,0.14317083882301274,0.6210493538844777,412.0,619.5,608.5,2603.0,1951.0,2936.5,-0.5179926084419374,1070.0,-0.14317083882301274,15_0
4,0.16206140350877193,0.5903361344537815,570.0,685.0,682.5,2649.5,1910.5,2929.0,-0.47216335966095163,1032.5,-0.16206140350877193,16_0
1,0.26122534620226606,0.7666421748714181,278.0,462.5,397.0,3005.5,1760.5,2847.5,-0.5838956365272154,840.5,-0.26122534620226606,17_0
1,0.08251586843623773,0.40735183795948987,587.5,787.0,790.0,1876.0,1590.0,2929.0,-0.33782078249894826,819.5,-0.08251586843623773,18_0
1,0.3352972683449384,0.6477197620621282,310.5,343.0,266.5,1246.5,620.5,2877.5,-0.28801245459263103,265.5,-0.3352972683449384,19_0
7,0.2663862600771118,-0.0338280518785934,1666.0,1831.0,1933.0,1806.5,1046.5,2804.5,0.27263249348392704,1001.5,-0.2663862600771118,20_0
1,0.2558391198484985,0.788594913948112,374.0,541.0,411.5,3481.5,2063.0,2910.5,-0.5844854070660522,916.5,-0.2558391198484985,21_0
4,0.18017140631086873,0.5997359735973598,622.5,771.5,758.0,3029.5,2104.5,2913.0,-0.4634909596662031,1279.0,-0.18017140631086873,22_0
7,-0.13977817981593643,0.021769597309165653,1916.5,2357.5,2617.5,2734.0,3622.5,2864.0,-0.21153846153846154,4269.5,0.13977817981593643,23_0
1,0.30022652029970376,0.7967734168071274,230.5,356.0,211.0,1865.5,1004.0,2885.5,-0.4764705882352941,439.5,-0.30022652029970376,24_0
1,0.32455922522969954,0.7615587846763541,322.5,489.0,361.0,2667.0,1360.0,2874.5,-0.47106544077879936,553.0,-0.32455922522969954,25_0
7,0.8279374825565169,-0.5066197103523606,20000.0,20000.0,20000.0,6549.5,616.5,2631.5,0.9401935343050469,500.5,-0.8279374825565169,26_0
1,0.16195128570459325,0.3456431209240198,1759.0,2009.0,2082.0,4281.5,3088.0,2830.5,-0.21169315283500098,2240.0,-0.16195128570459325,27_0
4,0.1276294020326164,0.525987525987526,570.5,746.0,741.0,2385.5,1845.5,2942.0,-0.4242716573413081,1071.0,-0.1276294020326164,28_0
7,0.15493286631640396,-0.40362934828480135,4025.5,4717.0,11641.0,4946.0,3619.0,2731.5,0.13171785028790786,3761.5,-0.15493286631640396,29_0
1,0.309284447072738,0.8605042016806723,230.0,251.0,166.0,2214.0,1168.0,2908.0,-0.6462297392529951,467.0,-0.309284447072738,30_0
1,0.06890243902439025,0.5263387026556378,154.5,261.0,272.0,876.5,763.5,2801.5,-0.4904831625183016,432.5,-0.06890243902439025,31_0
1,0.26270751326373437,0.528169014084507,606.5,673.0,569.5,1844.5,1077.0,2815.5,-0.23085714285714284,578.0,-0.26270751326373437,32_0
1,0.2048894062863795,0.4021223752540077,689.0,690.0,662.0,1552.5,1024.5,2810.0,-0.19510061242344706,740.0,-0.2048894062863795,33_0
1,0.4986835176408636,0.617964752700398,241.5,223.0,168.0,711.5,238.0,2888.5,-0.03253796095444685,99.5,-0.4986835176408636,34_0
7,0.8958248175182482,-0.1039659978472663,20000.0,20000.0,20000.0,16233.0,892.0,2562.5,0.9146084625694045,740.0,-0.8958248175182482,35_0
3,0.24894927182093637,0.774475767254548,352.5,550.0,406.0,3194.5,1921.0,2931.0,-0.5548360987454471,828.5,-0.24894927182093637,36_0
7,-0.20291173794358508,0.040792079207920794,1450.0,1687.5,1816.5,1971.0,2974.5,2795.5,-0.27606177606177607,3182.0,0.20291173794358508,37_0
1,0.2936870997255261,0.7686053783614759,308.0,352.0,185.0,1414.0,772.0,2892.0,-0.3736654804270463,346.0,-0.2936870997255261,38_0
4,-0.10361488904795992,0.29481711257593385,1003.0,1256.5,1364.0,2504.5,3083.5,2939.5,-0.42096774193548386,2256.5,0.10361488904795992,39_0
