ID,B1,B2,B3,B4,B5,B6,B7,NDWI,NDVI,MNDWI,NDBI,elevation,LULC
1_0,433,474,392,1914,1332,2970,489,0.179297597,0.660017346,-0.475083056,-0.179297597,164,1
3_0,528,659,756.5,1989.5,1808,2809.5,1311.5,0.047794602,0.449016752,-0.465747872,-0.047794602,3643,1
8_0,129,205,185,693,592,2722,415,0.078599222,0.578587699,-0.485570891,-0.078599222,3515,1
11_0,601.5,822.5,977,1924.5,2240,3032,1687,-0.075759395,0.32655523,-0.462857143,0.075759395,1076,1
14_0,587,788,837,1985,2398,2980,1672,-0.094227698,0.406803685,-0.505335844,0.094227698,184,1
16_0,313,454,454.5,2009,1443.5,2859,941,0.163794352,0.631012787,-0.521475626,-0.163794352,1656,1
17_0,428,710,746,2566,2310,2864,1389,0.052502051,0.549516908,-0.529801325,-0.052502051,2321,1
18_0,179,207,221,785,374,2847,135,0.354616048,0.560636183,-0.287435456,-0.354616048,1550,1
20_0,638,806,924.5,2232,2057.5,3000,1165,0.040680732,0.414224616,-0.437052558,-0.040680732,349,1
21_0,370,547,589,2158,1822,2908,1066,0.084422111,0.571168548,-0.538201773,-0.084422111,1757,1
28_0,496,669,549,1903,1089,2913,559,0.272058824,0.552202284,-0.23890785,-0.272058824,556,1
30_0,497,657.5,659.5,2217.5,1755,2965,958.5,0.116425425,0.541536323,-0.45492228,-0.116425425,193,1
32_0,586.5,900,1153.5,2495.5,2678,3000,1844.5,-0.035275925,0.367771992,-0.496925657,0.035275925,1934,1
34_0,387,562,454.5,2674,1824.5,2933.5,840.5,0.188840725,0.709445421,-0.529017389,-0.188840725,481,1
37_0,602,754.5,748,1946,1765.5,3000,1033.5,0.048632628,0.444691908,-0.401190476,-0.048632628,192,1
38_0,433,486,352,1760,1031,2960,469,0.261196704,0.666666667,-0.359261701,-0.261196704,580,1
42_0,203,310,337,1716,1297,2790,716,0.139064056,0.671699951,-0.614187928,-0.139064056,3431,1
43_0,332,439,264,2054,1061,2962.5,433.5,0.318780096,0.772217429,-0.414666667,-0.318780096,211,1
49_0,339,443,330,1865,983.5,2955,376,0.30946112,0.699316629,-0.378899404,-0.30946112,203,1
50_0,359,464,362,1985,1107,2892,563,0.283958603,0.691521091,-0.409293444,-0.283958603,1597,1
52_0,386.5,582,592,2295.5,1734.5,2970,891.5,0.139205955,0.58995671,-0.497517807,-0.139205955,1473,1
53_0,487,674,672,1540,1554,2870,1004,-0.004524887,0.392405063,-0.39497307,0.004524887,1143,1
56_0,496,652,670,1942,1304,2913,659,0.1965496,0.486983155,-0.333333333,-0.1965496,534,1
59_0,238,313.5,245,1630,1012,2858.5,487,0.233913702,0.738666667,-0.526970954,-0.233913702,2152,1
61_0,298,267,204,991,402,2842,185,0.422828428,0.658577406,-0.201793722,-0.422828428,1033,1
65_0,491.5,711,887.5,1714,2430.5,2902,2007.5,-0.17287972,0.317701326,-0.547349992,0.17287972,3306,1
68_0,483.5,655.5,698,2424.5,2120.5,2967.5,1175.5,0.066886689,0.552922338,-0.527737752,-0.066886689,972,1
71_0,1977,2097.5,2131.5,2857.5,2558,2767.5,2266.5,0.055304219,0.145520144,-0.098915262,-0.055304219,3372,1
72_0,431,544,377,2578,1338,2918,502,0.316649642,0.744839255,-0.421891605,-0.316649642,940,1
75_0,208,324,256,1774,869,2875,428,0.342413924,0.747783251,-0.456831517,-0.342413924,1762,1
77_0,646,729,670,2468,1626,2875,854,0.20566683,0.572976418,-0.38089172,-0.20566683,924,1
80_0,316,389,402,1882,1321,2902,580,0.175148298,0.647985989,-0.54502924,-0.175148298,1205,1
81_0,330.5,387,317,1602.5,822.5,2947.5,351.5,0.321649485,0.669705653,-0.360066143,-0.321649485,392,1
83_0,405,597,632,2279,1813,2985,1038,0.113880743,0.565784954,-0.504564315,-0.113880743,2116,1
87_0,315,389,377,1248,1173,2836,754,0.030978934,0.536,-0.501920615,-0.030978934,2032,1
90_0,450,612,764,1703,1068,2778,700,0.229159148,0.38062424,-0.271428571,-0.229159148,3488,1
94_0,331,508,498,2579,1978,2908,1014,0.131885012,0.676308092,-0.591311344,-0.131885012,3243,1
96_0,460,548,467,1755,916,2881,468,0.314114564,0.579657966,-0.25136612,-0.314114564,1191,1
98_0,454.5,620.5,646.5,1937,1586.5,2945,929.5,0.099474954,0.49951616,-0.437698233,-0.099474954,1426,1
101_0,307.5,463,461,1623,1604,2977.5,1021.5,0.005887822,0.557581574,-0.552007741,-0.005887822,1333,1
103_0,528,569,493,1636,1121,2934,518,0.186797243,0.536871771,-0.326627219,-0.186797243,230,1
106_0,284,392,362,1929,1069,2897,488,0.286857905,0.683980794,-0.463381246,-0.286857905,437,1
108_0,311,466,502,2502,1883,2813,1004,0.141163056,0.665778961,-0.603235419,-0.141163056,3010,1
114_0,180,291.5,263.5,2112,1108.5,2858.5,525.5,0.311597578,0.778151968,-0.583571429,-0.311597578,3230,1
116_0,610,832,921,2122,2436,3044,1692,-0.068889864,0.394676306,-0.490820073,0.068889864,1259,1
119_0,675,852,714,2223,1676,2950,989,0.140292383,0.513789581,-0.325949367,-0.140292383,149,1
124_0,483.5,594,579,1920,1410,2977.5,724,0.153153153,0.536614646,-0.407185629,-0.153153153,655,1
129_0,529,674,741,2163,1556,2908,730,0.163215918,0.489669421,-0.395515695,-0.163215918,868,1
130_0,309,523,497,2477,1577,2939,732,0.22200296,0.665770007,-0.501904762,-0.22200296,645,1
132_0,493,610.5,571.5,2213,1685,2942,839.5,0.135454079,0.589513378,-0.468089741,-0.135454079,502,1
133_0,536,638,547,2154,1382,2924,761,0.218325792,0.594964828,-0.368316832,-0.218325792,150,1
136_0,226,289,261,1328,974,2891.5,476,0.153779322,0.671491504,-0.542359462,-0.153779322,1748,1
137_0,218,208,167,829,431,2813,248,0.315873016,0.664658635,-0.348982786,-0.315873016,2800,1
139_0,351,362,261,1388,767,2875,305,0.288167053,0.683444512,-0.358724535,-0.288167053,766,1
140_0,297.5,381,445.5,1273.5,1495.5,2804.5,1005,-0.080173348,0.481675393,-0.59392486,0.080173348,3081,1
142_0,608,822,935,2301,2693,2995,1956,-0.078494193,0.422126082,-0.532290185,0.078494193,1582,1
143_0,249,400,353,2295,1407,2825,616,0.23987034,0.733383686,-0.557277255,-0.23987034,2726,1
145_0,522.5,710,740.5,3207,2475.5,2955,1353.5,0.128728553,0.624825839,-0.554230105,-0.128728553,875,1
149_0,209,358,373,2237,1379,2847,667,0.237278761,0.714176245,-0.587795049,-0.237278761,2431,1
152_0,225.5,319,300,1473,915,2905,488,0.233668342,0.661590525,-0.482982172,-0.233668342,2957,1
154_0,422,572.5,566,2009,1603,2931.5,1022,0.112403101,0.56038835,-0.473684211,-0.112403101,1712,1
156_0,2175.5,2410.5,2610.5,3997.5,4178.5,2797.5,3445.5,-0.022137965,0.209897094,-0.268325998,0.022137965,3275,1
158_0,371,516,466,1539,1271,2950,689,0.095373665,0.535162095,-0.422495803,-0.095373665,1660,1
164_0,460.5,585,635.5,2497,2292,2899.5,1292,0.042806431,0.594253791,-0.593326382,-0.042806431,2469,1
165_0,305,374.5,341,1164,716.5,2918.5,351.5,0.237968625,0.546843854,-0.313473877,-0.237968625,1079,1
166_0,379,596,525,2117,1569,2975,807,0.148670646,0.602573808,-0.449422633,-0.148670646,1731,1
